player_name,team,position,games_played,ppg,rpg,apg,fg_pct
Luka Dončić,LAL,PG,50,32.3,7.8,8.6,0.473
Shai Gilgeous-Alexander,OKC,PG,52,31.7,4.4,6.5,0.551
Anthony Edwards,MIN,SG,53,29.5,5.2,3.7,0.495
Jaylen Brown,BOS,SF,55,28.9,7.2,5,0.48
Tyrese Maxey,PHI,PG,60,28.9,4.2,6.7,0.46
Nikola Jokić,DEN,C,47,28.6,12.6,10.4,0.572
Donovan Mitchell,CLE,SG,55,28.5,4.5,5.8,0.483
Kawhi Leonard,LAC,SF,47,27.9,6.4,3.7,0.497
Giannis Antetokounmpo,MIL,PF,32,27.6,9.9,5.4,0.637
Stephen Curry,GSW,PG,39,27.2,3.5,4.8,0.468
Lauri Markkanen,UTA,PF,42,26.7,6.9,2.1,0.477
Joel Embiid,PHI,C,33,26.6,7.5,3.9,0.495
Jalen Brunson,NYK,PG,58,26.5,3.4,6.3,0.467
Kevin Durant,HOU,SF,58,26.2,5.4,4.5,0.51
Jamal Murray,DEN,PG,58,25.7,4.4,7.3,0.484
Cade Cunningham,DET,PG,55,25.2,5.8,9.8,0.455
Devin Booker,PHO,SG,46,24.6,4,6,0.45
Deni Avdija,POR,SF,48,24.4,7,6.6,0.463
James Harden,2TM,PG,53,24.3,4.9,8.1,0.425
James Harden,LAC,PG,44,25.4,4.8,8.1,0.419
James Harden,CLE,PG,9,19.1,5.1,7.9,0.469
Michael Porter Jr.,BRK,SF,50,24.2,7,3.1,0.465
Keyonte George,UTA,PG,51,24,3.8,6.3,0.46
Pascal Siakam,IND,PF,53,24,6.7,3.9,0.485
Victor Wembanyama,SAS,C,48,23.7,11.2,2.9,0.501
Austin Reaves,LAL,SG,36,23.6,4.8,5.4,0.496
Jalen Johnson,ATL,SF,56,22.7,10.5,8,0.491
Norman Powell,MIA,SG,49,22.5,3.6,2.6,0.473
Paolo Banchero,ORL,PF,51,22,8.5,5,0.458
Brandon Ingram,TOR,SF,60,21.9,5.7,3.8,0.472
Trey Murphy III,NOP,SF,55,21.9,5.7,3.8,0.475
Zion Williamson,NOP,PF,47,21.6,5.9,3.4,0.587
Julius Randle,MIN,PF,63,21.5,6.9,5.3,0.483
LeBron James,LAL,SF,44,21.4,5.6,7,0.504
Shaedon Sharpe,POR,SG,48,21.4,4.4,2.6,0.456
Tyler Herro,MIA,SG,18,21.3,4.2,3.4,0.497
Franz Wagner,ORL,SF,28,21.3,5.8,3.6,0.479
Dillon Brooks,PHO,SF,50,20.9,3.7,1.8,0.44
Brandon Miller,CHO,SF,46,20.8,4.8,3.3,0.432
Anthony Davis,DAL,PF,20,20.4,11.1,2.8,0.506
Alperen Şengün,HOU,C,54,20.4,9.1,6.3,0.499
Cooper Flagg,DAL,SF,50,20.3,6.5,4.2,0.478
Desmond Bane,ORL,SG,61,20.2,4.2,4.1,0.485
Jimmy Butler,GSW,SF,38,20,5.6,4.9,0.519
Nickeil Alexander-Walker,ATL,SG,60,19.8,3.5,3.7,0.436
Karl-Anthony Towns,NYK,C,59,19.7,11.8,2.8,0.484
Ja Morant,MEM,PG,20,19.5,3.3,8.1,0.41
Jaren Jackson Jr.,2TM,C,48,19.4,5.7,2,0.476
Jaren Jackson Jr.,MEM,C,45,19.2,5.8,1.9,0.475
Jaren Jackson Jr.,UTA,C,3,22.3,4.3,2.7,0.49
LaMelo Ball,CHO,PG,53,19.2,4.8,7.3,0.399
Kon Knueppel,CHO,SF,62,19.2,5.5,3.4,0.488
Zach LaVine,SAC,SG,39,19.2,2.8,2.3,0.479
Ty Jerome,MEM,SG,9,19,2.9,5.2,0.491
Scottie Barnes,TOR,PF,60,18.9,8,5.4,0.502
De'Aaron Fox,SAS,PG,53,18.8,3.8,6.1,0.483
Jerami Grant,POR,PF,47,18.8,3.6,2.3,0.445
CJ McCollum,2TM,PG,58,18.7,3.4,3.6,0.452
CJ McCollum,WAS,SG,35,18.8,3.5,3.6,0.454
CJ McCollum,ATL,PG,23,18.6,3.2,3.7,0.449
Bam Adebayo,MIA,C,55,18.7,9.8,2.8,0.449
Trae Young,2TM,PG,11,18.6,1.5,8.6,0.417
Trae Young,ATL,PG,10,19.3,1.5,8.9,0.415
Trae Young,WAS,PG,1,12,2,6,0.444
Jalen Duren,DET,C,51,18.4,10.7,1.7,0.631
RJ Barrett,TOR,SF,38,18.3,5.4,3.4,0.48
DeMar DeRozan,SAC,PF,64,18.2,3,3.9,0.488
Bennedict Mathurin,2TM,SF,37,18.1,5.6,2.4,0.432
Bennedict Mathurin,IND,SF,28,17.8,5.4,2.3,0.433
Bennedict Mathurin,LAC,SF,9,19.2,6.3,2.8,0.43
Coby White,2TM,SG,33,18,3.5,4.6,0.438
Coby White,CHI,SG,29,18.6,3.7,4.7,0.438
Coby White,CHO,SG,4,13.5,2,4.3,0.436
Josh Giddey,CHI,PG,41,17.7,8.2,8.4,0.457
Aaron Gordon,DEN,PF,23,17.7,6.2,2.5,0.509
Grayson Allen,PHO,SG,40,17.6,3.1,4.1,0.405
Miles Bridges,CHO,PF,58,17.6,6,3.4,0.445
Evan Mobley,CLE,PF,48,17.6,8.7,3.8,0.517
Darius Garland,2TM,PG,28,17.5,2.5,6.8,0.452
Darius Garland,CLE,PG,26,18,2.4,6.9,0.451
Darius Garland,LAC,PG,2,12,3,5,0.474
Kevin Porter Jr.,MIL,PG,35,17.5,5.2,7.4,0.462
Jalen Williams,OKC,SG,26,17.5,4.7,5.4,0.479
Saddiq Bey,NOP,SF,57,17.4,5.7,2.5,0.454
Immanuel Quickley,TOR,PG,59,17.4,4.2,6.1,0.452
Amen Thompson,HOU,PG,59,17.4,7.7,5.2,0.512
Chet Holmgren,OKC,PF,56,17.3,9,1.8,0.552
Derrick White,BOS,SG,60,17.3,4.4,5.7,0.392
Andrew Nembhard,IND,PG,48,17.2,2.9,7.3,0.439
Alex Sarr,WAS,C,41,17.2,7.8,2.8,0.496
Kristaps Porziņģis,2TM,C,18,16.8,4.9,2.6,0.461
Kristaps Porziņģis,ATL,C,17,17.1,5.1,2.7,0.457
Kristaps Porziņģis,GSW,C,1,12,1,1,0.556
Payton Pritchard,BOS,PG,61,16.8,4.1,5.3,0.46
Ryan Rollins,MIL,PG,59,16.8,4.7,5.5,0.465
Jrue Holiday,POR,PG,34,16.6,4.6,6.3,0.467
Stephon Castle,SAS,PG,52,16.4,4.8,6.9,0.469
Onyeka Okongwu,ATL,C,57,16.2,7.9,3.2,0.486
OG Anunoby,NYK,PF,49,16.1,5.2,2.2,0.473
Paul George,PHI,PF,27,16,5.1,3.7,0.424
Andrew Wiggins,MIA,SF,57,15.9,5.1,2.8,0.474
Nikola Vučević,2TM,C,59,15.8,8.8,3.4,0.496
Nikola Vučević,CHI,C,48,16.9,9,3.8,0.505
Nikola Vučević,BOS,C,11,11.4,7.8,2,0.445
Domantas Sabonis,SAC,C,19,15.8,11.4,4.1,0.543
Mikal Bridges,NYK,SF,63,15.6,4.1,3.9,0.499
Anthony Black,ORL,PG,59,15.5,3.9,3.9,0.451
Dejounte Murray,NOP,PG,4,15.5,4.5,6.3,0.457
Jarrett Allen,CLE,C,51,15.3,8.5,1.9,0.636
Matas Buzelis,CHI,PF,62,15.3,5.5,2.1,0.47
VJ Edgecombe,PHI,SG,57,15.3,5.5,3.9,0.427
Jabari Smith Jr.,HOU,PF,58,15.3,6.9,1.8,0.45
Russell Westbrook,SAC,SF,59,15.3,5.3,6.4,0.43
Jaime Jaquez Jr.,MIA,SF,58,15.2,5.3,4.6,0.506
Naji Marshall,DAL,SF,59,15.2,4.9,3.1,0.525
Jaden McDaniels,MIN,PF,61,15.1,4.4,2.9,0.525
Peyton Watson,DEN,SF,49,14.9,4.9,2,0.496
Kyshawn George,WAS,SF,48,14.8,5.1,4.5,0.438
